Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module fft_minimal_tb.dut.tw_rom.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.

=================================================
TEST: DC Signal (Input 0.5)
=================================================

=== ALL FFT OUTPUT BINS ===
Bin | Mag(Approx) | Mag(Exact) | Error% | Real     | Imag     | Hex(Re)  | Hex(Im)
122 |         267 |     256.68 |   4.02 |     -254 |       37 | ff02 | 0025          
123 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
124 |         264 |     256.22 |   3.04 |     -255 |       25 | ff01 | 0019          
125 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
126 |         260 |     256.33 |   1.43 |     -256 |       13 | ff00 | 000d          
127 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
128 |         256 |     256.00 |   0.00 |     -256 |        0 | ff00 | 0000          
129 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
130 |         260 |     256.33 |   1.43 |     -256 |      -13 | ff00 | fff3          
131 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
132 |         264 |     256.22 |   3.04 |     -255 |      -25 | ff01 | ffe7          
133 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
134 |         267 |     256.83 |   3.96 |     -254 |      -38 | ff02 | ffda          
135 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
136 |         269 |     255.93 |   5.11 |     -251 |      -50 | ff05 | ffce          
137 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
138 |         270 |     255.88 |   5.52 |     -248 |      -63 | ff08 | ffc1          
139 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
140 |         272 |     255.93 |   6.28 |     -245 |      -74 | ff0b | ffb6          
141 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
142 |         272 |     255.88 |   6.30 |     -241 |      -86 | ff0f | ffaa          
143 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
144 |         273 |     256.46 |   6.45 |     -237 |      -98 | ff13 | ff9e          
145 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
146 |         271 |     255.85 |   5.92 |     -231 |     -110 | ff19 | ff92          
147 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
148 |         271 |     256.35 |   5.71 |     -226 |     -121 | ff1e | ff87          
149 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
150 |         269 |     256.56 |   4.85 |     -220 |     -132 | ff24 | ff7c          
